"n_altas"|"C_FECHA_CAMBIO_ESTADO"
803|"2022-07-19"
4|"2022-01-01"
742|"2021-11-24"
595|"2019-05-18"
64|"2019-03-31"
1014|"2020-04-01"
423|"2019-05-25"
865|"2022-04-06"
742|"2021-10-14"
835|"2022-07-11"
993|"2020-06-02"
992|"2020-10-27"
639|"2019-12-05"
738|"2020-01-29"
737|"2022-07-16"
755|"2021-11-26"
191|"2020-07-12"
979|"2021-02-05"
920|"2020-09-11"
1093|"2020-06-12"
74|"2019-06-16"
282|"2020-08-07"
769|"2022-04-09"
1014|"2021-02-15"
311|"2019-02-01"
786|"2019-05-02"
867|"2021-03-20"
756|"2022-05-20"
780|"2021-07-10"
778|"2021-03-19"
798|"2022-03-05"
6|"2021-09-19"
8|"2021-05-09"
874|"2022-03-02"
10|"2022-01-02"
783|"2021-10-12"
2|"2020-04-12"
1081|"2020-04-20"
498|"2019-06-01"
821|"2021-01-08"
726|"2022-06-18"
1050|"2021-02-10"
864|"2022-03-18"
617|"2022-01-07"
1074|"2020-07-14"
854|"2022-01-14"
845|"2022-07-21"
841|"2020-12-05"
792|"2021-04-26"
827|"2022-05-27"
640|"2019-10-07"
475|"2019-10-26"
939|"2021-01-14"
10|"2021-10-18"
666|"2020-02-22"
7|"2021-07-18"
956|"2021-01-22"
973|"2021-02-02"
952|"2020-04-28"
789|"2022-06-15"
1274|"2020-08-03"
892|"2021-05-12"
319|"2020-03-29"
597|"2019-12-13"
1150|"2020-08-05"
104|"2021-02-07"
181|"2019-12-08"
1085|"2021-02-12"
817|"2022-05-02"
30|"2021-05-23"
34|"2022-03-21"
960|"2021-02-23"
972|"2020-09-22"
2|"2020-11-02"
8|"2021-07-04"
828|"2022-02-08"
578|"2019-01-17"
954|"2020-11-07"
1050|"2020-08-10"
690|"2019-04-03"
433|"2019-09-21"
836|"2022-06-07"
651|"2019-06-11"
858|"2020-11-17"
625|"2019-08-02"
984|"2020-10-29"
624|"2019-11-01"
132|"2022-02-06"
728|"2019-09-11"
38|"2019-03-10"
845|"2020-02-12"
822|"2020-02-06"
847|"2021-09-02"
862|"2021-05-07"
770|"2021-09-16"
735|"2021-07-12"
300|"2019-12-24"
953|"2022-01-28"
156|"2019-03-25"
815|"2021-04-15"
901|"2020-09-12"
54|"2020-12-06"
727|"2021-10-19"
485|"2020-01-04"
999|"2020-11-05"
629|"2019-01-19"
